Medio empleado;Medio empleado;Sexo;Edad;Total;Año
Total;Total;A;Todas las edades;3539;2018
Total;Total;A;0_15;7;2018
Total;Total;A;15_29;268;2018
Total;Total;A;30_39;396;2018
Total;Total;A;40_44;315;2018
Total;Total;A;45_49;393;2018
Total;Total;A;50_54;377;2018
Total;Total;A;55_59;381;2018
Total;Total;A;60_64;273;2018
Total;Total;A;65_69;239;2018
Total;Total;A;70_74;230;2018
Total;Total;A;75_79;173;2018
Total;Total;A;80_84;228;2018
Total;Total;A;85_89;175;2018
Total;Total;A;90_94;73;2018
Total;Total;A;95_mas;11;2018
Total;Total;H;Todas las edades;2619;2018
Total;Total;H;0_15;4;2018
Total;Total;H;15_29;203;2018
Total;Total;H;30_39;309;2018
Total;Total;H;40_44;236;2018
Total;Total;H;45_49;298;2018
Total;Total;H;50_54;280;2018
Total;Total;H;55_59;275;2018
Total;Total;H;60_64;196;2018
Total;Total;H;65_69;164;2018
Total;Total;H;70_74;160;2018
Total;Total;H;75_79;129;2018
Total;Total;H;80_84;167;2018
Total;Total;H;85_89;134;2018
Total;Total;H;90_94;56;2018
Total;Total;H;95_mas;8;2018
Total;Total;M;Todas las edades;920;2018
Total;Total;M;0_15;3;2018
Total;Total;M;15_29;65;2018
Total;Total;M;30_39;87;2018
Total;Total;M;40_44;79;2018
Total;Total;M;45_49;95;2018
Total;Total;M;50_54;97;2018
Total;Total;M;55_59;106;2018
Total;Total;M;60_64;77;2018
Total;Total;M;65_69;75;2018
Total;Total;M;70_74;70;2018
Total;Total;M;75_79;44;2018
Total;Total;M;80_84;61;2018
Total;Total;M;85_89;41;2018
Total;Total;M;90_94;17;2018
Total;Total;M;95_mas;3;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;Todas las edades;3;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;0_15;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;15_29;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;30_39;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;40_44;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;45_49;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;50_54;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;55_59;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;60_64;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;65_69;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;70_74;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;75_79;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;80_84;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;85_89;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;90_94;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;95_mas;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;Todas las edades;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;0_15;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;15_29;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;30_39;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;40_44;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;45_49;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;50_54;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;55_59;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;60_64;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;65_69;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;70_74;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;75_79;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;80_84;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;85_89;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;90_94;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;95_mas;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;Todas las edades;2;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;0_15;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;15_29;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;30_39;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;40_44;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;45_49;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;50_54;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;55_59;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;60_64;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;65_69;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;70_74;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;75_79;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;80_84;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;85_89;0;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;90_94;1;2018
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;95_mas;0;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;Todas las edades;39;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;0_15;0;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;15_29;1;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;30_39;4;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;40_44;3;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;45_49;3;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;50_54;7;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;55_59;5;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;60_64;7;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;65_69;4;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;70_74;1;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;75_79;1;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;80_84;1;2018
X61;X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte;A;85_89;1;2018
