Medio empleado;Medio empleado;Sexo;Edad;Total;Año
Total;Total;A;Todas las edades;3671;2019
Total;Total;A;0_15;7;2019
Total;Total;A;15_29;309;2019
Total;Total;A;30_39;413;2019
Total;Total;A;40_44;342;2019
Total;Total;A;45_49;389;2019
Total;Total;A;50_54;411;2019
Total;Total;A;55_59;350;2019
Total;Total;A;60_64;293;2019
Total;Total;A;65_69;231;2019
Total;Total;A;70_74;240;2019
Total;Total;A;75_79;228;2019
Total;Total;A;80_84;214;2019
Total;Total;A;85_89;148;2019
Total;Total;A;90_94;81;2019
Total;Total;A;95_mas;15;2019
Total;Total;H;Todas las edades;2771;2019
Total;Total;H;0_15;4;2019
Total;Total;H;15_29;235;2019
Total;Total;H;30_39;314;2019
Total;Total;H;40_44;263;2019
Total;Total;H;45_49;310;2019
Total;Total;H;50_54;301;2019
Total;Total;H;55_59;260;2019
Total;Total;H;60_64;207;2019
Total;Total;H;65_69;172;2019
Total;Total;H;70_74;177;2019
Total;Total;H;75_79;171;2019
Total;Total;H;80_84;163;2019
Total;Total;H;85_89;118;2019
Total;Total;H;90_94;63;2019
Total;Total;H;95_mas;13;2019
Total;Total;M;Todas las edades;900;2019
Total;Total;M;0_15;3;2019
Total;Total;M;15_29;74;2019
Total;Total;M;30_39;99;2019
Total;Total;M;40_44;79;2019
Total;Total;M;45_49;79;2019
Total;Total;M;50_54;110;2019
Total;Total;M;55_59;90;2019
Total;Total;M;60_64;86;2019
Total;Total;M;65_69;59;2019
Total;Total;M;70_74;63;2019
Total;Total;M;75_79;57;2019
Total;Total;M;80_84;51;2019
Total;Total;M;85_89;30;2019
Total;Total;M;90_94;18;2019
Total;Total;M;95_mas;2;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;Todas las edades;7;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;0_15;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;15_29;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;30_39;2;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;40_44;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;45_49;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;50_54;2;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;55_59;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;60_64;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;65_69;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;70_74;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;75_79;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;80_84;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;85_89;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;90_94;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;95_mas;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;Todas las edades;3;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;0_15;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;15_29;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;30_39;2;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;40_44;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;45_49;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;50_54;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;55_59;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;60_64;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;65_69;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;70_74;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;75_79;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;80_84;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;85_89;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;90_94;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;95_mas;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;Todas las edades;4;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;0_15;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;15_29;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;30_39;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;40_44;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;45_49;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;50_54;1;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;55_59;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;60_64;0;2019
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;65_69;0;2019
